match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
85,mixtral:latest,mixtral:latest,P1,13,100,100,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,3,3,0,0,0,,13.53427767753601
86,mixtral:latest,mixtral:latest,P1,13,130,35,4,1,8,4,2,13,4,1,4,1,0,0,0,0,0,0,0,0,130,35,0,0,0,0,0,0,4,1,0,0,0,,11.409898519515991
87,mixtral:latest,mixtral:latest,P1,13,135,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,115,0,0,0,0,0,0,4,4,0,0,0,,13.448529720306396
88,mixtral:latest,mixtral:latest,P2,13,110,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,135,0,0,0,0,0,0,4,4,0,0,0,,15.877460956573486
89,mixtral:latest,mixtral:latest,P2,13,105,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,105,135,0,0,0,0,0,0,4,4,0,0,0,,12.726342916488647
90,mixtral:latest,mixtral:latest,P1,13,115,100,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,100,0,0,0,0,0,0,4,4,0,0,0,,15.848185539245605
91,mixtral:latest,mixtral:latest,P1,13,95,30,3,1,7,4,8,13,3,1,3,1,0,0,0,0,0,0,0,0,95,30,0,0,0,0,0,0,2,1,0,0,0,,7.916752576828003
92,mixtral:latest,mixtral:latest,P1,13,105,30,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,105,30,0,0,0,0,0,0,4,1,0,0,0,,10.652754306793213
93,mixtral:latest,mixtral:latest,P1,13,145,110,4,3,10,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,145,110,0,0,0,0,0,0,4,4,0,0,0,,14.338449001312256
94,mixtral:latest,mixtral:latest,P1,13,130,35,4,1,8,4,2,13,4,1,4,1,0,0,0,0,0,0,0,0,130,35,0,0,0,0,0,0,4,1,0,0,0,,11.304966926574707
95,mixtral:latest,mixtral:latest,P1,13,95,30,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,95,30,0,0,0,0,0,0,3,1,0,0,0,,8.22913122177124
96,mixtral:latest,mixtral:latest,P2,13,105,115,3,3,9,7,6,8,3,3,3,3,0,0,0,0,0,0,0,0,105,115,0,0,0,0,0,0,4,4,0,0,0,,14.083377122879028
97,mixtral:latest,mixtral:latest,P2,13,105,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,110,0,0,0,0,0,0,4,4,0,0,0,,14.501826763153076
98,mixtral:latest,mixtral:latest,Draw,13,65,65,2,2,6,6,10,10,2,2,2,2,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,2,2,0,0,0,,8.616910457611084
99,mixtral:latest,mixtral:latest,P1,13,65,30,2,1,6,4,10,13,2,1,2,1,0,0,0,0,0,0,0,0,65,30,0,0,0,0,0,0,1,1,0,0,0,,7.135486602783203
100,mixtral:latest,mixtral:latest,P2,13,60,65,2,2,6,6,10,10,2,2,2,2,0,0,0,0,0,0,0,0,60,65,0,0,0,0,0,0,2,2,0,0,0,,9.311739444732666
